id,year,month,employment_status,job_title,job_years,is_manager,hours_per_week,telecommute_days_per_week,education,is_education_computer_related,certifications,salary
1,2018,12,2,1,4.0,1,40.0,0.0,2,1.0,0,7187.743093820491
2,2017,1,2,2,5.0,0,40.0,5.0,2,1.0,0,10000.0
3,2017,12,2,2,1.0,0,40.0,0.0,3,1.0,1,7000.0
4,2018,12,2,2,1.0,0,40.0,2.0,2,0.0,0,8333.0
5,2018,12,2,1,3.0,0,40.0,2.0,3,1.0,1,7137.0
6,2017,1,2,1,1.0,0,38.0,0.0,2,0.0,0,5833.0
7,2017,1,2,2,5.0,0,40.0,0.0,1,1.0,1,7166.0
8,2017,12,2,2,0.0,0,45.0,4.0,2,0.0,1,8750.0
9,2017,1,2,1,4.78393032736957,1,40.0,0.0,2,1.0,0,7187.743093820491
10,2017,12,2,2,5.0,1,40.0,0.0,2,0.0,0,7166.0
11,2017,1,2,0,3.0,0,40.0,0.0,0,0.0,0,6750.0
12,2017,12,2,1,5.0,1,40.0,5.0,0,0.0,1,7166.0
13,2017,1,2,2,4.0,0,37.0,0.0,2,1.0,0,4869.0
14,2018,12,2,3,3.0,1,45.0,0.0,2,0.0,0,6500.0
15,2017,1,2,1,2.0,0,45.0,,0,0.0,1,7916.0
16,2017,12,2,1,2.0,0,40.0,0.0,2,1.0,1,5583.0
17,2018,12,2,2,2.0,0,38.0,1.0,0,0.0,0,4166.0
18,2018,12,2,1,10.0,0,40.0,,2,1.0,0,7083.0
19,2017,12,2,2,10.0,0,37.0,0.0,3,1.0,1,3750.0
20,2017,1,2,2,8.0,1,40.0,5.0,2,1.0,1,9916.0
21,2017,1,2,2,4.14672601405319,0,41.0,0.0,3,1.0,0,7054.6438534377
22,2018,12,2,2,4.04073862302981,0,41.0,0.0,2,0.0,0,7107.089169939409
23,2017,12,2,2,2.0,0,42.0,0.0,3,1.0,0,6583.0
24,2017,1,2,2,3.49217382746,0,42.0,1.0,2,0.0,0,7760.29556259317
25,2018,12,2,0,1.0,0,40.0,0.0,2,0.0,0,5000.0
26,2017,1,2,2,7.0,1,44.0,0.0,2,1.0,0,6563.0
27,2018,1,2,4,4.5266957064977005,1,41.0,,2,1.0,1,7083.69464459871
28,2017,12,2,2,5.41379301194162,1,41.0,3.0,2,1.0,1,7605.220277777779
29,2017,12,2,2,7.0,0,40.0,0.0,2,1.0,0,8291.0
30,2018,12,2,2,4.39897442599596,0,41.0,0.0,2,1.0,0,6929.89287980687
31,2017,1,2,2,5.0,1,40.0,5.0,3,0.0,0,7166.0
32,2017,12,2,4,5.0,0,40.0,5.0,0,0.0,1,7166.0
33,2017,12,2,1,4.45645192422728,0,,0.0,2,1.0,0,6564.939162516
34,2018,12,2,5,1.0,0,45.0,2.0,2,1.0,0,10000.0
35,2017,12,2,2,6.0,0,45.0,1.0,2,1.0,0,6250.0
36,2017,1,2,2,2.0,0,40.0,0.0,2,1.0,0,6000.0
37,2017,12,2,1,5.73367443667444,0,41.0,2.0,2,1.0,1,6677.9673408993
38,2017,12,2,1,7.0,0,45.0,0.0,0,0.0,0,9000.0
39,2018,12,2,1,4.94511378307467,0,,0.0,3,1.0,0,6657.163452402261
40,2017,12,2,2,5.0,0,40.0,0.0,2,1.0,1,7166.0
41,2017,12,2,1,0.0,0,40.0,0.0,2,1.0,1,7500.0
42,2017,1,2,2,10.0,0,45.0,3.0,0,0.0,0,9583.0
43,2017,12,2,2,4.04073862302981,0,41.0,0.0,2,0.0,0,7107.089169939409
44,2017,1,2,2,5.0,0,40.0,1.0,3,1.0,1,7166.0
45,2017,12,2,1,5.73367443667444,0,,2.0,2,1.0,1,6677.9673408993
46,2017,1,2,1,4.45645192422728,0,41.0,0.0,2,1.0,0,6564.939162516
47,2018,12,2,1,5.335898268398269,0,41.0,0.0,1,0.0,1,7418.52323989899
48,2017,1,2,6,4.95988095238095,0,41.0,5.0,3,1.0,0,7620.416761904759
49,2017,1,2,2,8.0,0,42.0,0.0,3,1.0,0,6250.0
50,2017,12,2,1,2.0,1,40.0,0.0,2,1.0,0,9166.0
51,2017,1,2,2,4.99722354162143,1,,0.0,3,1.0,1,7366.409174996129
52,2017,1,2,2,5.0,0,40.0,0.0,3,1.0,1,6000.0
53,2017,1,2,1,5.0,0,40.0,0.0,0,0.0,1,7166.0
54,2017,12,2,2,7.0,0,44.0,0.0,2,1.0,1,8000.0
55,2018,12,2,2,5.0,1,40.0,3.0,2,0.0,0,7166.0
56,2018,12,2,2,4.2633494220164705,0,41.325061878877705,2.0,2,1.0,0,6644.85170744648
57,2018,12,2,4,5.30133358411455,1,41.6219427505759,0.0,3,0.0,0,7456.35979700855
58,2017,12,2,2,5.0,0,37.0,0.0,2,0.0,1,4833.0
59,2017,12,2,2,5.0,0,40.0,2.0,3,1.0,1,5541.0
60,2017,12,2,7,5.39444444444444,1,42.254583333333294,2.0,0,0.0,0,7611.99095238095
61,2017,12,2,1,2.0,0,40.0,1.0,2,1.0,0,5597.0
62,2017,12,0,5,5.0,1,40.0,0.0,0,0.0,1,7166.0
63,2018,12,2,2,4.64083006561005,0,41.114137565130896,0.0,2,1.0,1,7052.09183260453
64,2017,12,0,2,5.0,0,40.0,0.0,1,0.0,0,7166.0
65,2017,12,2,2,7.0,1,45.0,1.0,2,1.0,0,9500.0
66,2017,12,2,2,4.0,1,44.0,1.0,2,1.0,1,9583.0
67,2017,12,2,2,3.0,0,45.0,0.0,2,1.0,0,6666.0
68,2017,12,2,7,1.0,0,42.0,0.0,0,0.0,1,8166.0
69,2017,1,2,2,6.0,0,40.0,0.0,0,0.0,0,8750.0
70,2017,12,2,1,6.0,0,40.0,5.0,2,1.0,0,7750.0
71,2018,12,2,1,3.0,0,40.0,3.0,2,0.0,0,7250.0
72,2017,12,2,1,2.0576709401709397,0,41.2434788128538,4.0,2,1.0,1,5674.19115873016
73,2017,1,2,1,5.0,1,40.0,5.0,1,0.0,0,7166.0
74,2017,12,2,1,5.12024312760073,0,41.09457382013021,0.0,1,1.0,0,5871.87845699334
75,2017,1,2,2,3.0,0,40.0,0.0,0,1.0,1,10000.0
76,2018,1,2,2,5.0,0,40.0,1.0,2,1.0,1,7166.0
77,2017,12,2,1,3.0,0,40.0,0.0,2,1.0,0,10416.0
78,2017,1,2,2,5.0,0,40.0,5.0,2,1.0,1,7166.0
79,2018,12,0,1,4.01632744640065,0,41.1556111111111,0.0,3,1.0,1,6783.3027491679795
80,2017,12,2,2,3.0,0,45.0,0.0,1,0.0,1,6083.0
81,2018,12,2,5,4.975749621755059,1,40.6914831932773,0.0,0,0.0,0,7106.68348194818
82,2017,1,2,2,1.0,0,40.0,0.0,2,1.0,1,5416.0
83,2017,12,2,1,1.0,0,40.0,0.0,2,1.0,0,8500.0
84,2017,1,2,5,4.0111580907482605,0,41.5584475248864,0.0,2,1.0,1,7388.43297900402
85,2018,12,2,2,3.0,0,45.0,0.0,2,1.0,1,7833.0
86,2017,1,2,3,1.0,0,40.0,0.0,3,0.0,0,4833.0
87,2018,12,2,2,4.46140457800713,0,41.3329660943632,1.0,1,1.0,1,6907.57303257853
88,2018,12,2,5,3.99688961038961,1,40.0200382395382,0.0,2,0.0,1,7988.838404761899
89,2017,12,2,5,7.81752559841633,0,40.159998093058704,0.0,3,0.0,1,7849.24977703027
90,2017,1,2,2,4.0,0,45.0,0.0,2,1.0,1,6000.0
91,2017,12,2,0,10.0,0,40.0,0.0,2,1.0,1,5000.0
92,2017,12,2,4,3.82266996496776,1,41.439505098392,0.0,2,1.0,0,7158.63696955947
93,2017,12,2,7,3.1116746031746,0,42.4646219336219,3.0,2,0.0,0,7369.04766666667
94,2017,12,2,2,4.5895581068398394,1,40.85628408193121,0.0,0,0.0,1,7993.8848224277
95,2017,1,2,7,4.37675595238095,0,40.038557504873296,5.0,2,1.0,1,7660.58572222222
96,2018,12,2,2,4.9070636832688095,0,40.727005354549604,0.0,0,0.0,1,6600.64001429953
97,2017,1,2,5,5.47261904761905,1,41.694523809523794,0.0,3,0.0,0,6392.47371428571
98,2017,12,2,2,4.0,0,40.0,0.0,2,1.0,0,7966.0
99,2017,12,0,2,5.0,0,40.0,5.0,3,1.0,1,7166.0
100,2017,1,2,6,7.33066666666667,0,41.615150987224204,0.0,1,1.0,1,5641.49694444444
101,2017,1,2,4,3.82266996496776,1,41.439505098392,0.0,2,1.0,0,7158.63696955947
102,2017,12,2,2,3.0,0,38.0,0.0,0,0.0,1,4466.0
103,2017,12,2,3,3.05033333333333,1,40.5305,0.0,3,0.0,0,6668.3315
104,2017,1,2,1,1.0,0,40.0,0.0,2,0.0,1,7626.0
105,2018,12,2,2,8.0,0,40.0,0.0,0,0.0,0,6083.0
106,2017,12,2,2,4.1911711163395795,0,40.809895582514,0.0,1,1.0,0,6032.160004854661
107,2017,1,2,2,7.0,0,45.0,0.0,2,1.0,1,5750.0
108,2017,1,2,5,3.7421190430667104,0,40.434221976096296,0.0,2,1.0,0,6864.11238986838
109,2017,12,2,2,4.9070636832688095,0,40.727005354549604,0.0,0,0.0,1,6600.64001429953
110,2017,12,2,4,4.71880952380952,1,40.409738095238104,2.0,2,0.0,1,7752.05433333333
111,2017,12,2,2,3.0,0,42.0,0.0,3,0.0,1,7083.0
112,2017,1,2,1,2.0,1,40.0,0.0,1,0.0,0,3936.0
113,2017,1,2,1,2.0,0,40.0,0.0,2,1.0,0,5833.0
114,2017,1,2,5,5.0,0,37.0,0.0,2,1.0,0,6333.0
115,2018,12,2,1,5.8471428571428605,0,41.6558333333333,5.0,3,1.0,1,8279.718432539692
116,2018,1,2,1,4.07064526629927,0,40.8332818137705,0.0,0,0.0,0,6749.64577467426
117,2017,1,2,2,4.0,0,37.0,0.0,1,0.0,1,4659.0
118,2017,1,2,2,4.0,0,45.0,0.0,2,0.0,1,9166.0
119,2017,1,2,2,5.0,0,40.0,5.0,3,0.0,0,7166.0
120,2017,12,2,0,4.55146794871795,0,40.1157261904762,1.0,2,1.0,1,6301.45283333334
121,2018,1,2,2,4.044,1,40.326348401598395,0.0,3,1.0,0,5098.88963133641
122,2017,12,2,2,4.81679446778712,0,42.4598647724824,3.0,2,1.0,1,7801.09098790425
123,2018,1,2,2,1.0,0,40.0,0.0,2,0.0,1,8491.0
124,2017,1,2,6,8.0,0,40.0,0.0,3,0.0,0,5131.0
125,2017,12,2,2,3.0,0,40.0,1.0,3,1.0,1,6333.0
126,2017,1,2,1,4.40575169812128,0,41.2008068716629,5.0,2,1.0,1,7513.610263884441
127,2017,1,2,2,4.22536881685124,0,40.428527767042496,0.0,1,1.0,1,6927.16367895412
128,2017,1,2,1,1.0,0,40.0,0.0,1,0.0,1,6416.0
129,2017,1,2,2,5.0,0,40.0,2.0,0,0.0,1,7166.0
130,2017,1,2,1,2.0,0,40.0,0.0,2,1.0,0,6666.0
131,2017,12,2,2,2.0,0,42.0,0.0,3,1.0,0,6000.0
132,2017,12,2,1,4.0,0,40.0,0.0,2,0.0,0,7250.0
133,2017,12,2,1,5.12024312760073,0,41.09457382013021,0.0,1,1.0,0,5871.87845699334
134,2017,12,2,2,4.64083006561005,0,41.114137565130896,0.0,2,1.0,1,7052.09183260453
135,2017,12,2,2,5.0,0,40.0,0.0,0,0.0,0,7166.0
136,2017,1,2,8,5.0,0,40.0,1.0,2,0.0,0,7166.0
137,2017,12,2,1,8.43214285714286,1,40.1625028860029,1.0,0,0.0,0,8125.856
138,2017,1,2,5,5.0,0,40.0,3.0,2,0.0,1,7166.0
139,2018,1,2,1,2.0,0,40.0,0.0,2,0.0,0,6583.0
140,2017,12,2,2,5.0,0,38.0,0.0,2,0.0,0,6666.0
141,2017,1,2,7,4.0,0,40.0,1.0,2,1.0,1,8750.0
142,2017,1,2,2,5.04583333333333,1,40.191818181818206,3.0,1,0.0,1,6988.9426666666695
143,2017,12,2,1,2.0,1,40.0,0.0,1,1.0,1,8333.0
144,2017,12,2,2,5.0,0,40.0,0.0,3,1.0,0,6666.0
145,2018,12,2,5,5.0,0,40.0,0.0,2,1.0,0,7166.0
